step,behav_acc,probe_mem_L0,probe_mem_L1,probe_mem_L2,probe_mem_shuffle
0,0.0,0.2231,0.2283,0.2474,0.1263
5,0.0,0.2317,0.2329,0.2375,0.1234
10,0.0,0.219,0.237,0.2468,0.1251
20,0.006469002924859524,0.2265,0.2769,0.2995,0.1251
35,0.32734352350234985,0.2428,0.3279,0.3778,0.1194
50,0.5166816115379333,0.2804,0.4479,0.5272,0.1124
75,0.9996705651283264,0.9484,0.9902,0.993,0.1309
100,1.0,0.9948,0.9936,0.9942,0.1524
150,0.9998202919960022,0.9948,0.9954,0.9954,0.1408
200,0.9990715980529785,0.9936,0.9919,0.9936,0.1657
300,0.9995807409286499,0.9925,0.993,0.9936,0.1727
400,0.9996705651283264,0.9913,0.9919,0.993,0.1779
600,0.9999101758003235,0.9948,0.9954,0.9954,0.1686
800,0.9998801946640015,0.993,0.9936,0.9942,0.164
1100,0.9998502731323242,0.9942,0.9948,0.9942,0.1483
1500,0.9997004866600037,0.993,0.9919,0.993,0.1425
2000,1.0,0.9925,0.9907,0.9936,0.1559
2500,0.9999700784683228,0.9936,0.9925,0.9925,0.1367
