step,behav_acc,probe_x_L0,probe_x_L1,probe_x_L2,probe_x_shuffle,probe_y_L0,probe_y_L1,probe_y_L2,probe_y_shuffle,legality
0,0.21382105350494385,0.3622,0.3786,0.3676,0.2273,0.3238,0.3495,0.3454,0.2263,0.8175
5,0.21375954151153564,0.3583,0.369,0.3642,0.2273,0.3224,0.3453,0.3431,0.223,0.8283
10,0.23372139036655426,0.3564,0.3645,0.3703,0.2278,0.3328,0.3444,0.3389,0.2251,0.8419
20,0.3069712817668915,0.4199,0.4171,0.4151,0.223,0.3974,0.404,0.3816,0.2269,0.8565
35,0.30964720249176025,0.5715,0.5599,0.5527,0.227,0.5494,0.5359,0.5173,0.2258,0.8699
50,0.3097548484802246,0.7264,0.7296,0.7189,0.22,0.688,0.6944,0.6686,0.2243,0.8906
75,0.31105437874794006,0.7934,0.7858,0.7742,0.2129,0.8008,0.7952,0.7883,0.238,0.9306
100,0.3108775317668915,0.8442,0.84,0.8245,0.2028,0.8513,0.8513,0.8359,0.1935,0.9441
150,0.3117310404777527,0.9186,0.9163,0.9016,0.1869,0.9035,0.907,0.8959,0.2315,0.9549
200,0.3108775317668915,0.9537,0.9524,0.9312,0.2314,0.9516,0.9584,0.9399,0.1991,0.9637
300,0.3101854622364044,0.973,0.9833,0.9722,0.1564,0.9701,0.9863,0.9716,0.2279,0.9903
400,0.3131689727306366,0.9688,0.9758,0.957,0.1321,0.9688,0.9836,0.9624,0.2706,0.986
600,0.3126537799835205,0.9775,0.9755,0.9644,0.155,0.9806,0.9824,0.9545,0.2649,0.9919
800,0.3122616410255432,0.9797,0.9845,0.973,0.1546,0.9862,0.9881,0.9647,0.22,0.9961
1100,0.3161601722240448,0.9892,0.9949,0.9841,0.111,0.9896,0.9968,0.9802,0.2126,0.9979
1500,0.3133842945098877,0.9949,0.9964,0.9898,0.1747,0.9958,0.9953,0.979,0.2461,0.9943
2000,0.31132352352142334,0.9952,0.995,0.988,0.1451,0.9973,0.9989,0.9899,0.2455,0.999
3000,0.3131382167339325,0.9983,0.9967,0.9886,0.1558,0.9983,0.9986,0.9865,0.2221,0.9991
