step,behav_acc,probe_x_L0,probe_x_L1,probe_x_L2,probe_x_shuffle,probe_y_L0,probe_y_L1,probe_y_L2,probe_y_shuffle,legality
0,0.21455924212932587,0.3487,0.3666,0.395,0.2275,0.3528,0.3691,0.3472,0.2222,0.8165
5,0.21388256549835205,0.3525,0.3649,0.3878,0.2278,0.3553,0.3657,0.351,0.2242,0.8269
10,0.2284233570098877,0.3606,0.3789,0.3837,0.2273,0.3636,0.3773,0.3732,0.2198,0.8405
20,0.3088013529777527,0.3915,0.4085,0.3965,0.2311,0.4067,0.3987,0.3891,0.2266,0.8573
35,0.308601438999176,0.5581,0.5311,0.5144,0.2339,0.5754,0.5709,0.5529,0.2282,0.8696
50,0.30907049775123596,0.703,0.7148,0.7112,0.2404,0.7395,0.7393,0.7294,0.2072,0.8889
75,0.3111543357372284,0.8014,0.7927,0.7915,0.2096,0.8083,0.8035,0.7831,0.2255,0.9338
100,0.3088321089744568,0.8326,0.8214,0.8074,0.2135,0.8395,0.8295,0.814,0.2189,0.9421
150,0.30891671776771545,0.9202,0.9189,0.9085,0.1701,0.9132,0.9142,0.9005,0.2204,0.9555
200,0.31013163924217224,0.9534,0.9624,0.9464,0.1448,0.9482,0.9572,0.9334,0.2327,0.9772
300,0.3117925822734833,0.9784,0.9856,0.9763,0.1378,0.9657,0.983,0.9689,0.1898,0.9915
400,0.31306901574134827,0.9793,0.9869,0.9764,0.1614,0.9731,0.988,0.9749,0.2291,0.9914
600,0.3130459487438202,0.9848,0.9913,0.9829,0.1411,0.9815,0.9925,0.979,0.2664,0.9952
800,0.3102623522281647,0.991,0.9907,0.9799,0.1393,0.9904,0.9931,0.9844,0.241,0.9902
1100,0.310546875,0.9952,0.9967,0.9922,0.1378,0.9947,0.998,0.9946,0.2396,0.9981
1500,0.31366878747940063,0.994,0.9956,0.9917,0.1191,0.9973,0.998,0.9935,0.2649,0.9981
2000,0.31263840198516846,0.9955,0.9982,0.9911,0.1457,0.9989,0.9988,0.9961,0.2414,0.9991
3000,0.3129229247570038,0.9961,0.9988,0.9928,0.1714,0.9985,0.9991,0.992,0.2212,0.9995
