step,behav_acc,probe_mem_L0,probe_mem_L1,probe_mem_L2,probe_mem_shuffle
0,0.0,0.2092,0.241,0.2457,0.135
5,0.0,0.2121,0.2393,0.2451,0.1321
10,0.0,0.2196,0.2474,0.2439,0.1292
20,0.0,0.2207,0.2665,0.2804,0.1321
35,0.322102427482605,0.2428,0.3279,0.3586,0.128
50,0.5074872970581055,0.2758,0.4809,0.5348,0.1136
75,0.997065007686615,0.774,0.9913,0.993,0.1477
100,0.9996405839920044,0.9919,0.993,0.9936,0.1559
150,0.9997304677963257,0.9936,0.993,0.993,0.157
200,0.9984725713729858,0.993,0.9925,0.9925,0.1645
300,0.9997603893280029,0.993,0.9936,0.9925,0.1616
400,0.9994908571243286,0.9919,0.9925,0.993,0.1489
600,0.9998502731323242,0.9936,0.9942,0.9925,0.1518
800,0.9996705651283264,0.9919,0.9925,0.993,0.1425
1100,0.9999101758003235,0.9936,0.993,0.993,0.1454
1500,0.9998801946640015,0.9942,0.993,0.9948,0.1286
2000,0.9999700784683228,0.9936,0.9942,0.9936,0.1582
2500,0.9999700784683228,0.9942,0.9936,0.9942,0.1541
