step,behav_acc,probe_mem_L0,probe_mem_L1,probe_mem_L2,probe_mem_shuffle
0,0.0,0.2265,0.2352,0.2578,0.1228
5,0.0,0.2196,0.2346,0.259,0.1228
10,0.0,0.2248,0.2422,0.2654,0.1309
20,0.1257861703634262,0.2387,0.2694,0.2903,0.1425
35,0.30619946122169495,0.2532,0.3291,0.3662,0.1298
50,0.5227612853050232,0.3192,0.4728,0.5481,0.1205
75,0.9999400973320007,0.993,0.9936,0.9942,0.1489
100,0.9999400973320007,0.9925,0.9925,0.993,0.1634
150,0.9995807409286499,0.9948,0.9942,0.9948,0.1686
200,0.9991315007209778,0.993,0.993,0.9936,0.1709
300,0.9994309544563293,0.9913,0.9919,0.9913,0.1738
400,0.99895179271698,0.9942,0.9942,0.9936,0.1443
600,0.9990715980529785,0.9902,0.9902,0.9896,0.1443
800,0.9990416169166565,0.9913,0.9913,0.9919,0.1304
1100,1.0,0.9936,0.9925,0.9936,0.1501
1500,0.9999700784683228,0.993,0.9942,0.9942,0.139
2000,1.0,0.993,0.9942,0.9942,0.1338
2500,1.0,0.993,0.9925,0.9936,0.1419
