step,behav_acc,probe_x_L0,probe_x_L1,probe_x_L2,probe_x_shuffle,probe_y_L0,probe_y_L1,probe_y_L2,probe_y_shuffle,legality
0,0.2135596126317978,0.3547,0.3552,0.3564,0.2326,0.3424,0.3386,0.3492,0.2263,0.818
5,0.21360574662685394,0.3498,0.352,0.3538,0.2323,0.3462,0.3305,0.3436,0.2267,0.8277
10,0.21816560626029968,0.3502,0.3286,0.3436,0.2287,0.364,0.3555,0.3508,0.2294,0.8391
20,0.290531188249588,0.4244,0.3962,0.4096,0.2275,0.4228,0.4001,0.3987,0.2224,0.8488
35,0.3084476590156555,0.5828,0.5279,0.5153,0.229,0.5242,0.509,0.4928,0.2252,0.8658
50,0.30866295099258423,0.7204,0.7106,0.686,0.21,0.6904,0.677,0.6806,0.242,0.8915
75,0.30885520577430725,0.8107,0.8041,0.797,0.2109,0.8083,0.8063,0.7913,0.2258,0.931
100,0.311039000749588,0.8591,0.8513,0.846,0.1732,0.8522,0.8326,0.8239,0.2051,0.9487
150,0.3102700412273407,0.915,0.904,0.8942,0.1744,0.9334,0.9282,0.9183,0.2266,0.9493
200,0.30963951349258423,0.959,0.9563,0.9411,0.1825,0.9531,0.9606,0.9489,0.2168,0.9713
300,0.3109159767627716,0.9656,0.9635,0.9389,0.1609,0.9695,0.9722,0.9581,0.2444,0.983
400,0.3108313977718353,0.9815,0.9865,0.973,0.1418,0.9818,0.9872,0.9757,0.2064,0.9884
600,0.3094165325164795,0.9806,0.9869,0.973,0.1465,0.9823,0.9877,0.9761,0.2171,0.9942
800,0.3127460777759552,0.9883,0.9883,0.9842,0.1514,0.9847,0.988,0.9709,0.2508,0.9956
1100,0.3110082447528839,0.9973,0.9985,0.9925,0.151,0.9932,0.995,0.9914,0.245,0.9971
1500,0.3111543357372284,0.9971,0.9991,0.9938,0.1465,0.9979,0.9988,0.994,0.288,0.9987
2000,0.30952417850494385,0.9982,0.9983,0.9898,0.1456,0.9965,0.9956,0.9727,0.2063,0.9822
3000,0.3101777732372284,0.9964,0.9986,0.9922,0.1833,0.9968,0.9986,0.9893,0.2275,0.9994
