step,behav_acc,probe_mem_L0,probe_mem_L1,probe_mem_L2,probe_mem_shuffle
0,0.0,0.2202,0.2375,0.2549,0.1228
5,0.0,0.2236,0.2503,0.2578,0.1246
10,0.0,0.2254,0.2567,0.2578,0.1309
20,0.02024558186531067,0.2375,0.2752,0.2955,0.1251
35,0.32629528641700745,0.252,0.3389,0.372,0.124
50,0.5171608328819275,0.3076,0.4479,0.5255,0.1199
75,0.99790358543396,0.9374,0.989,0.9902,0.1414
100,0.9999700784683228,0.993,0.993,0.993,0.1402
150,0.9998801946640015,0.993,0.993,0.9925,0.1709
200,0.9986522793769836,0.9907,0.9907,0.9919,0.1582
300,0.999191403388977,0.9925,0.9919,0.9919,0.1379
400,0.9994609355926514,0.9925,0.9925,0.9913,0.1535
600,0.9995807409286499,0.9902,0.9913,0.9907,0.1402
800,0.9995807409286499,0.9913,0.9925,0.9919,0.1587
1100,0.9999700784683228,0.9925,0.993,0.9925,0.1379
1500,0.9998801946640015,0.9925,0.9919,0.9919,0.128
2000,1.0,0.993,0.9925,0.9925,0.1419
2500,1.0,0.9925,0.9919,0.9919,0.1495
