step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0011,0.0002,4.6207,4.6179,-0.8380,0.00000,0.00000,0.9227,3.7396,0.5153,nan
100,1.0000,0.2128,0.1738,4.3798,-2.4697,16.26934,3.11585,0.8722,5.2215,1.1654,0.9895
200,1.0000,0.2649,0.0141,4.2522,-2.4269,18.92389,3.55534,0.8600,5.3227,1.1915,1.0000
300,1.0000,0.2827,0.0040,4.2425,-2.3532,20.08619,3.77142,0.8534,5.3259,1.2006,1.0000
400,1.0000,0.2935,0.0013,4.2647,-2.2728,21.03982,3.94964,0.8476,5.3270,1.2107,1.0000
500,1.0000,0.3012,0.0005,4.3142,-2.1925,21.89006,4.10698,0.8422,5.3300,1.2227,1.0000
600,1.0000,0.3085,0.0002,4.3880,-2.1196,22.66669,4.24807,0.8372,5.3358,1.2370,1.0000
700,1.0000,0.3127,0.0001,4.4833,-2.0581,23.38324,4.37515,0.8325,5.3446,1.2531,0.9999
800,1.0000,0.3206,0.0007,4.0086,-1.8716,27.44401,4.92225,0.8389,5.5755,1.3595,0.9996
900,1.0000,0.3264,0.0003,3.9625,-1.6801,27.70144,5.01581,0.8394,5.5228,1.3465,1.0000
1000,1.0000,0.3273,0.0002,3.9800,-1.5769,27.95772,5.10937,0.8397,5.4719,1.3353,1.0000
1100,1.0000,0.3284,0.0001,4.0491,-1.5376,28.22696,5.20569,0.8397,5.4223,1.3253,1.0000
1200,1.0000,0.3287,0.0000,4.1571,-1.5451,28.50094,5.30329,0.8393,5.3742,1.3160,1.0000
1300,1.0000,0.3281,0.0000,4.2929,-1.5808,28.77020,5.39963,0.8385,5.3282,1.3078,1.0000
1400,1.0000,0.3278,0.0000,4.4482,-1.6316,29.02748,5.49227,0.8374,5.2851,1.3012,1.0000
1500,1.0000,0.3275,0.0000,4.6158,-1.6845,29.27057,5.58003,0.8361,5.2456,1.2965,0.9997
1600,1.0000,0.3294,0.0000,4.7873,-1.7292,29.50233,5.66328,0.8346,5.2094,1.2935,0.9985
1700,1.0000,0.3305,0.0000,4.9541,-1.7633,29.73242,5.74413,0.8330,5.1761,1.2915,0.9946
1800,1.0000,0.3316,0.0000,5.0927,-1.7780,29.97379,5.82706,0.8317,5.1439,1.2890,0.9799
1900,1.0000,0.3331,0.0000,5.1834,-1.8026,30.27865,5.92404,0.8310,5.1111,1.2848,0.8482
2000,1.0000,0.3317,0.0000,5.1854,-1.7564,30.76269,6.06087,0.8319,5.0756,1.2777,0.6969
2100,1.0000,0.2391,0.0212,5.7043,-4.2854,34.13623,6.51763,0.8330,5.2375,1.3983,0.9840
2200,1.0000,0.3417,0.0002,4.2164,-1.9298,35.41078,6.67293,0.8361,5.3066,1.3956,1.0000
2300,1.0000,0.3507,0.0001,4.0541,-1.5849,35.58087,6.76854,0.8364,5.2568,1.3839,1.0000
2400,1.0000,0.3562,0.0000,3.9159,-1.2674,35.76059,6.86558,0.8367,5.2087,1.3734,1.0000
2500,1.0000,0.3606,0.0000,3.8146,-0.9837,35.95379,6.96470,0.8369,5.1623,1.3641,1.0000
2600,1.0000,0.3633,0.0000,3.7657,-0.7595,36.16023,7.06557,0.8370,5.1178,1.3566,1.0000
2700,1.0000,0.3654,0.0000,3.7751,-0.6045,36.37768,7.16757,0.8369,5.0753,1.3508,1.0000
2800,1.0000,0.3650,0.0000,3.8386,-0.5172,36.60185,7.26997,0.8366,5.0347,1.3465,1.0000
2900,1.0000,0.3618,0.0000,3.9444,-0.4834,36.82864,7.37214,0.8361,4.9957,1.3431,0.9998
3000,1.0000,0.3603,0.0000,4.0745,-0.4802,37.05676,7.47381,0.8351,4.9582,1.3399,0.9993
