step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0000,0.0000,4.6356,4.6399,-1.2755,0.00000,0.00000,0.9233,3.7413,0.5157,nan
100,1.0000,0.5789,0.0673,1.9008,1.0839,29.71806,3.69755,0.8976,8.0372,1.1281,0.6197
200,1.0000,0.9989,0.0051,0.1969,4.9380,59.50293,4.00638,0.8673,14.8521,2.1034,0.3389
300,1.0000,1.0000,0.0015,0.0131,7.5822,88.90852,5.05425,0.8654,17.5908,2.5468,-0.0027
400,1.0000,1.0000,0.0006,0.0014,9.5386,118.90424,6.33472,0.8714,18.7702,2.7499,-0.2335
500,1.0000,1.0000,0.0003,0.0004,10.8142,148.95823,7.69512,0.8749,19.3575,2.8543,-0.4155
600,1.0000,1.0000,0.0001,0.0001,11.8955,178.03549,8.96941,0.8735,19.8492,2.9949,-0.5329
700,1.0000,1.0000,0.0000,0.0000,12.9530,206.41342,10.11946,0.8707,20.3977,3.1312,-0.6138
800,1.0000,1.0000,0.0000,0.0000,14.0093,234.40397,11.16782,0.8677,20.9892,3.2635,-0.6360
900,1.0000,1.0000,0.0000,0.0000,15.0741,262.19418,12.15621,0.8643,21.5687,3.3839,-0.6753
1000,1.0000,1.0000,0.0000,0.0000,16.1189,289.80065,13.09476,0.8616,22.1310,3.4938,-0.6593
1100,1.0000,1.0000,0.0000,0.0000,17.1487,317.16819,13.98075,0.8588,22.6861,3.5987,-0.7609
1200,1.0000,1.0000,0.0000,0.0000,18.1074,344.68374,14.85655,0.8575,23.2008,3.7257,-0.7556
1300,1.0000,1.0000,0.0000,0.0000,18.9013,371.46911,15.61883,0.8576,23.7834,3.8209,-0.0243
1400,1.0000,1.0000,0.0000,0.0000,19.0464,398.20239,16.12945,0.8571,24.6879,3.9645,0.4149
1500,1.0000,1.0000,0.0000,0.0000,19.2978,424.92594,16.58319,0.8566,25.6239,4.0977,-0.1212
1600,1.0000,1.0000,0.0000,0.0000,19.2844,451.57193,17.02844,0.8563,26.5187,4.2229,0.1690
1700,1.0000,1.0000,0.0000,0.0000,19.3429,478.14457,17.48060,0.8566,27.3529,4.3490,-0.0682
1800,1.0000,1.0000,0.0000,0.0000,19.3199,504.77801,17.94022,0.8577,28.1367,4.4804,-0.3268
1900,1.0000,1.0000,0.0000,0.0000,19.3218,531.26178,18.42094,0.8568,28.8401,4.5626,-0.3776
2000,1.0000,1.0000,0.0000,0.0000,19.0951,557.67370,18.87803,0.8564,29.5409,4.6445,0.4320
2100,1.0000,1.0000,0.0000,0.0000,19.3245,584.05888,19.35401,0.8561,30.1777,4.7234,-0.1338
2200,1.0000,1.0000,0.0000,0.0000,19.3439,610.45033,19.88023,0.8558,30.7064,4.7827,-0.4501
2300,1.0000,1.0000,0.0000,0.0000,19.4226,636.87549,20.47989,0.8555,31.0976,4.8371,-0.2718
2400,1.0000,1.0000,0.0000,0.0000,19.4437,663.37688,21.07101,0.8554,31.4829,4.8822,-0.3137
2500,1.0000,1.0000,0.0000,0.0000,19.4165,689.92640,21.58383,0.8554,31.9650,4.9326,-0.3499
