step,train_acc,val_acc,train_loss,val_loss
0,0.0016,0.0001,4.6164,4.6194
100,1.0000,0.0879,0.0785,5.3811
200,1.0000,0.1085,0.0094,5.6927
300,1.0000,0.1158,0.0027,5.9123
400,0.7969,0.0555,0.9710,6.7688
500,1.0000,0.1059,0.0029,6.5655
600,1.0000,0.1164,0.0013,6.5418
700,1.0000,0.1219,0.0007,6.5679
800,1.0000,0.1237,0.0003,6.6909
900,1.0000,0.1247,0.0002,6.9049
1000,1.0000,0.1271,0.0001,7.2113
1100,1.0000,0.1274,0.0000,7.5654
1200,1.0000,0.1289,0.0000,7.9279
1300,1.0000,0.1306,0.0000,8.2842
1400,1.0000,0.1316,0.0000,8.6258
1500,1.0000,0.1336,0.0000,8.8725
1600,1.0000,0.1346,0.0000,9.0548
1700,1.0000,0.1363,0.0000,9.0792
1800,1.0000,0.0513,0.0177,9.9536
1900,1.0000,0.0681,0.0019,10.2145
2000,1.0000,0.0786,0.0006,10.1415
2100,1.0000,0.0898,0.0002,9.8732
2200,1.0000,0.1002,0.0001,9.4539
2300,1.0000,0.1069,0.0001,9.0780
2400,1.0000,0.1093,0.0000,8.9257
2500,1.0000,0.1111,0.0000,9.0824
2600,1.0000,0.1145,0.0000,9.3484
2700,1.0000,0.1153,0.0000,9.6343
2800,1.0000,0.1176,0.0000,9.9083
2900,1.0000,0.1223,0.0000,10.0304
3000,1.0000,0.1255,0.0000,10.0874
3100,0.3636,0.0251,6.5659,16.2895
3200,1.0000,0.0670,0.0031,11.3681
3300,1.0000,0.0752,0.0010,11.4882
3400,1.0000,0.0821,0.0003,11.3937
3500,1.0000,0.0901,0.0001,11.0314
3600,1.0000,0.0996,0.0001,10.4805
3700,0.2860,0.0100,2.8239,7.5096
3800,1.0000,0.0600,0.0038,11.7159
3900,1.0000,0.0693,0.0011,11.6876
4000,1.0000,0.0778,0.0004,11.4841
4100,1.0000,0.0851,0.0001,11.1624
4200,1.0000,0.0580,0.0285,11.1415
4300,1.0000,0.0723,0.0022,11.3352
4400,1.0000,0.0786,0.0008,11.3157
4500,1.0000,0.0859,0.0003,11.1676
4600,1.0000,0.0947,0.0001,10.8862
4700,1.0000,0.1043,0.0000,10.5377
4800,1.0000,0.1118,0.0000,10.2521
4900,1.0000,0.1194,0.0000,10.0192
5000,1.0000,0.1300,0.0000,9.8405
5100,1.0000,0.1391,0.0000,9.7414
5200,1.0000,0.1443,0.0000,9.5940
5300,1.0000,0.1504,0.0000,9.4067
5400,1.0000,0.1566,0.0000,9.0445
5500,1.0000,0.1000,0.0048,9.3924
5600,1.0000,0.1101,0.0014,9.4942
5700,1.0000,0.1173,0.0005,9.4305
5800,1.0000,0.1290,0.0002,9.1634
5900,1.0000,0.1420,0.0001,8.6773
6000,1.0000,0.1556,0.0000,8.0783
6100,1.0000,0.1679,0.0000,7.5839
6200,1.0000,0.1779,0.0000,7.2091
6300,1.0000,0.1889,0.0000,6.9723
6400,1.0000,0.2002,0.0000,6.8278
6500,1.0000,0.2108,0.0000,6.6641
6600,1.0000,0.2220,0.0000,6.4917
6700,1.0000,0.2293,0.0000,6.2200
6800,1.0000,0.1594,0.0396,6.8207
6900,1.0000,0.2040,0.0015,6.4340
7000,1.0000,0.2143,0.0006,6.3640
7100,1.0000,0.2298,0.0002,6.1586
7200,1.0000,0.2426,0.0001,5.8052
7300,1.0000,0.2614,0.0000,5.2884
7400,1.0000,0.2885,0.0000,4.6951
7500,1.0000,0.4196,0.0081,2.8754
7600,1.0000,0.4552,0.0015,2.6406
7700,1.0000,0.4772,0.0006,2.5164
7800,1.0000,0.5050,0.0002,2.3328
7900,1.0000,0.5393,0.0001,2.0985
8000,1.0000,0.5793,0.0000,1.7810
8100,0.3174,0.0869,3.1184,4.6591
8200,1.0000,0.6235,0.0015,1.4977
8300,1.0000,0.6573,0.0006,1.3181
8400,1.0000,0.6969,0.0002,1.1362
8500,1.0000,0.7430,0.0001,0.9436
8600,1.0000,0.7837,0.0000,0.7575
8700,1.0000,0.8310,0.0000,0.5731
8800,1.0000,0.8802,0.0000,0.3954
8900,1.0000,0.9111,0.0000,0.2839
9000,1.0000,0.9243,0.0000,0.2452
9100,1.0000,0.9267,0.0000,0.2501
9200,1.0000,0.9127,0.0000,0.2891
9300,0.9995,0.7424,0.0286,1.0384
9400,1.0000,0.8697,0.0009,0.4960
9500,1.0000,0.8907,0.0003,0.4005
9600,1.0000,0.9122,0.0001,0.3155
9700,1.0000,0.9328,0.0000,0.2454
9800,1.0000,0.9478,0.0000,0.1888
9900,1.0000,0.9617,0.0000,0.1361
10000,1.0000,0.9786,0.0000,0.0809
10100,1.0000,0.9876,0.0000,0.0415
10200,1.0000,0.9928,0.0000,0.0244
10300,1.0000,0.9951,0.0000,0.0189
10400,1.0000,0.9017,0.0024,0.3267
