step,train_acc,val_acc,train_loss,val_loss
0,0.0008,0.0002,4.6213,4.6171
100,1.0000,0.6635,0.1948,1.5293
200,1.0000,0.9871,0.0122,0.2429
300,1.0000,0.9989,0.0082,0.0594
400,1.0000,0.9995,0.0018,0.0172
500,1.0000,0.9995,0.0007,0.0094
600,1.0000,0.9995,0.0003,0.0049
700,1.0000,0.9996,0.0001,0.0023
