step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0000,0.0000,4.6337,4.6373,-1.3850,0.00000,0.00000,0.9221,3.7425,0.5122,nan
100,1.0000,0.2742,0.1476,4.1451,-2.1483,16.30851,3.09960,0.8694,5.2615,1.1876,0.9907
200,1.0000,0.2992,0.0123,4.1057,-2.0275,18.76238,3.47606,0.8576,5.3976,1.2145,1.0000
300,1.0000,0.3026,0.0033,4.1879,-1.9488,19.82339,3.64251,0.8518,5.4422,1.2254,1.0000
400,1.0000,0.3058,0.0011,4.3034,-1.8843,20.66893,3.77102,0.8470,5.4810,1.2349,1.0000
500,1.0000,0.3083,0.0004,4.4409,-1.8304,21.40931,3.88024,0.8430,5.5175,1.2439,1.0000
600,1.0000,0.3099,0.0001,4.5939,-1.7793,22.07854,3.97613,0.8395,5.5528,1.2528,1.0000
700,1.0000,0.3106,0.0000,4.7586,-1.7297,22.69078,4.06130,0.8364,5.5871,1.2616,1.0000
800,1.0000,0.3117,0.0000,4.9328,-1.6793,23.25437,4.13744,0.8336,5.6205,1.2705,0.9999
900,1.0000,0.3126,0.0000,5.1152,-1.6271,23.77446,4.20578,0.8310,5.6528,1.2792,0.9993
1000,1.0000,0.3136,0.0000,5.3040,-1.5746,24.25230,4.26718,0.8287,5.6834,1.2876,0.9965
1100,1.0000,0.3156,0.0000,5.4956,-1.5216,24.68677,4.32262,0.8267,5.7111,1.2949,0.9920
1200,1.0000,0.3159,0.0000,5.6776,-1.4709,25.08902,4.37572,0.8252,5.7337,1.3006,0.9693
1300,1.0000,0.2947,0.0066,5.6323,-3.7683,28.84144,4.83808,0.8318,5.9613,1.3962,0.9957
1400,1.0000,0.3176,0.0002,5.2189,-2.6028,29.58330,4.91762,0.8343,6.0158,1.3998,1.0000
1500,1.0000,0.3200,0.0001,5.2104,-2.3828,29.71409,4.93878,0.8346,6.0165,1.3989,1.0000
1600,1.0000,0.3231,0.0000,5.2142,-2.1795,29.84632,4.96003,0.8350,6.0174,1.3978,1.0000
1700,1.0000,0.3231,0.0000,5.2329,-1.9878,29.98535,4.98222,0.8355,6.0185,1.3968,1.0000
1800,1.0000,0.3244,0.0000,5.2698,-1.8116,30.13076,5.00532,0.8359,6.0197,1.3958,1.0000
1900,1.0000,0.3246,0.0000,5.3271,-1.6538,30.28144,5.02921,0.8363,6.0211,1.3948,1.0000
2000,1.0000,0.3247,0.0000,5.4057,-1.5220,30.43606,5.05376,0.8366,6.0225,1.3939,1.0000
2100,1.0000,0.3249,0.0000,5.5059,-1.4140,30.59415,5.07898,0.8368,6.0237,1.3929,0.9998
2200,1.0000,0.3256,0.0000,5.6133,-1.3310,30.75121,5.10423,0.8369,6.0247,1.3920,0.9994
2300,1.0000,0.3243,0.0000,5.6957,-1.2826,30.91424,5.13051,0.8370,6.0256,1.3915,0.9929
2400,1.0000,0.3223,0.0000,5.6943,-1.2317,31.10881,5.16226,0.8376,6.0262,1.3902,0.9739
2500,1.0000,0.3221,0.0000,5.6869,-1.1594,31.39795,5.21013,0.8386,6.0263,1.3872,0.9410
