step,train_acc,val_acc,train_loss,val_loss
0,0.0013,0.0001,4.6208,4.6181
100,1.0000,0.1152,0.1202,5.0456
200,1.0000,0.1496,0.0110,5.2500
300,1.0000,0.1651,0.0030,5.3935
400,1.0000,0.1763,0.0010,5.5412
500,1.0000,0.1657,0.0033,5.7047
600,1.0000,0.1810,0.0014,5.6657
700,1.0000,0.1866,0.0007,5.6859
800,1.0000,0.1885,0.0004,5.7779
900,1.0000,0.1916,0.0002,5.9212
1000,1.0000,0.1943,0.0001,6.1238
1100,1.0000,0.1975,0.0000,6.3610
1200,1.0000,0.2011,0.0000,6.5991
1300,1.0000,0.2050,0.0000,6.8268
1400,1.0000,0.2082,0.0000,7.0344
1500,1.0000,0.2113,0.0000,7.1959
1600,1.0000,0.2148,0.0000,7.2836
1700,1.0000,0.2184,0.0000,7.2753
1800,0.9983,0.1043,0.1187,7.1288
1900,1.0000,0.1855,0.0025,6.4653
2000,1.0000,0.2048,0.0008,6.2398
2100,1.0000,0.2254,0.0003,5.9273
2200,1.0000,0.2409,0.0001,5.5854
2300,0.0145,0.0108,8.4895,9.0459
2400,1.0000,0.3587,0.0337,2.7056
2500,1.0000,0.3888,0.0053,2.6320
2600,1.0000,0.4166,0.0015,2.5146
2700,1.0000,0.4476,0.0005,2.3343
2800,1.0000,0.5616,0.0175,1.5280
2900,1.0000,0.6781,0.0019,1.0393
3000,1.0000,0.7257,0.0007,0.8725
3100,1.0000,0.7967,0.0003,0.6431
3200,1.0000,0.8583,0.0001,0.4412
3300,1.0000,0.9093,0.0000,0.2976
3400,1.0000,0.9454,0.0000,0.1945
3500,1.0000,0.9637,0.0000,0.1287
3600,1.0000,0.9803,0.0000,0.0765
3700,1.0000,0.9901,0.0000,0.0396
3800,1.0000,0.9945,0.0000,0.0222
3900,1.0000,0.9965,0.0000,0.0135
4000,1.0000,0.9974,0.0000,0.0099
