step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0000,0.0000,4.6337,4.6373,-1.3850,0.00000,0.00000,0.9221,3.7425,0.5122,nan
100,1.0000,0.2736,0.3065,4.0229,-1.8964,15.75979,3.24437,0.8634,4.8576,1.1952,0.9541
200,1.0000,0.3083,0.0376,3.6492,-1.4055,19.01530,4.04374,0.8377,4.7024,1.2646,0.9999
300,1.0000,0.3146,0.0222,3.4400,-1.0775,22.67836,4.94664,0.8280,4.5846,1.3586,0.9975
400,0.9805,0.2985,0.2189,3.7318,-1.6848,23.97505,5.39274,0.8093,4.4458,1.4580,-0.5106
500,1.0000,0.3446,0.0206,2.8772,-0.3767,28.24459,6.22706,0.8037,4.5358,1.6059,0.9994
600,1.0000,0.3524,0.0153,2.8097,-0.2043,29.63252,6.61424,0.7832,4.4801,1.7495,1.0000
700,1.0000,0.4430,0.0173,2.1220,0.5333,33.94638,6.92026,0.7651,4.9054,2.1466,0.9940
800,1.0000,0.4576,0.0136,2.0673,0.7376,35.11626,7.36994,0.7521,4.7648,2.1617,0.9999
900,1.0000,0.5157,0.0063,1.8106,1.2056,36.26952,7.35956,0.7344,4.9282,2.3200,1.0000
1000,1.0000,0.5924,0.0027,1.5227,1.7798,37.30183,7.25187,0.7217,5.1438,2.4656,1.0000
1100,1.0000,0.6645,0.0011,1.2468,2.4085,38.30155,7.12819,0.7120,5.3733,2.5999,1.0000
1200,1.0000,0.7381,0.0005,0.9947,3.0764,39.28532,7.01127,0.7047,5.6032,2.7183,1.0000
1300,1.0000,0.8013,0.0002,0.7723,3.7822,40.25275,6.91444,0.6996,5.8216,2.8127,1.0000
1400,1.0000,0.8562,0.0001,0.5840,4.5063,41.21487,6.85283,0.6968,6.0143,2.8706,0.4262
1500,1.0000,0.9894,0.0051,0.1555,4.5852,46.17394,7.74858,0.7022,5.9590,2.8451,0.9999
1600,1.0000,0.9945,0.0054,0.1462,4.8313,47.70405,8.50655,0.6978,5.6079,2.7663,0.9999
1700,1.0000,0.9983,0.0038,0.0997,5.3432,49.91819,8.66247,0.6827,5.7626,3.0672,1.0000
1800,1.0000,0.9997,0.0018,0.0390,6.3410,51.30936,8.61980,0.6726,5.9525,3.2778,1.0000
1900,1.0000,1.0000,0.0008,0.0118,7.5223,52.23565,8.64062,0.6673,6.0454,3.3503,1.0000
2000,1.0000,1.0000,0.0003,0.0032,8.7798,53.08734,8.73131,0.6642,6.0801,3.3514,1.0000
2100,1.0000,1.0000,0.0002,0.0009,10.0060,53.96222,8.89136,0.6624,6.0691,3.2997,1.0000
2200,1.0000,1.0000,0.0001,0.0002,11.1562,54.91154,9.11809,0.6613,6.0223,3.2025,1.0000
2300,1.0000,1.0000,0.0000,0.0001,12.1981,56.12040,9.43126,0.6604,5.9505,3.0824,0.9851
2400,1.0000,0.9995,0.0034,0.0118,7.0677,60.25562,9.66981,0.6510,6.2313,3.2614,0.9907
2500,1.0000,1.0000,0.0004,0.0009,9.5044,62.16413,10.67109,0.6493,5.8255,3.0645,1.0000
