step,train_acc,val_acc,train_loss,val_loss
0,0.0009,0.0002,4.6206,4.6178
100,1.0000,0.3875,0.1813,2.8152
200,1.0000,0.5461,0.0130,1.7226
300,1.0000,0.6522,0.0034,1.2696
400,1.0000,0.8203,0.0398,0.7419
500,1.0000,0.9729,0.0027,0.2032
600,1.0000,0.9776,0.0011,0.1588
700,1.0000,0.9832,0.0005,0.1258
800,1.0000,0.9882,0.0002,0.0895
900,1.0000,0.9941,0.0001,0.0519
1000,1.0000,0.9967,0.0000,0.0225
