step,train_acc,val_acc,train_loss,val_loss,margin,cum_travel,rel_travel,eff_rank,fro,spec,upd_cos
0,0.0011,0.0002,4.6207,4.6179,-0.8380,0.00000,0.00000,0.9227,3.7396,0.5153,nan
100,1.0000,0.2125,0.1647,4.3908,-2.4911,16.31331,3.10530,0.8726,5.2534,1.1630,0.9875
200,1.0000,0.2629,0.0130,4.2926,-2.4833,18.89903,3.51152,0.8612,5.3820,1.1882,1.0000
300,1.0000,0.2807,0.0036,4.3115,-2.4439,19.99909,3.69493,0.8555,5.4126,1.1971,1.0000
400,1.0000,0.2900,0.0011,4.3621,-2.4014,20.88277,3.83996,0.8505,5.4383,1.2059,1.0000
500,1.0000,0.2976,0.0004,4.4388,-2.3594,21.66106,3.96511,0.8461,5.4629,1.2155,1.0000
600,1.0000,0.3030,0.0001,4.5378,-2.3255,22.36719,4.07616,0.8420,5.4873,1.2263,1.0000
700,1.0000,0.3086,0.0000,4.6562,-2.2985,23.01549,4.17578,0.8383,5.5117,1.2379,1.0000
800,1.0000,0.3115,0.0000,4.7921,-2.2790,23.61403,4.26567,0.8350,5.5358,1.2499,0.9999
900,1.0000,0.3165,0.0000,4.9432,-2.2674,24.16801,4.34710,0.8319,5.5596,1.2618,0.9993
1000,1.0000,0.2277,0.0230,5.5259,-4.1239,27.09101,4.75428,0.8331,5.6982,1.3448,0.9693
1100,1.0000,0.3179,0.0002,4.4778,-2.2807,28.57942,4.93015,0.8388,5.7969,1.3408,1.0000
1200,1.0000,0.3232,0.0001,4.4401,-2.0988,28.73296,4.97052,0.8392,5.7807,1.3366,1.0000
1300,1.0000,0.3272,0.0000,4.4348,-1.9567,28.89113,5.01159,0.8396,5.7649,1.3327,1.0000
1400,1.0000,0.3287,0.0000,4.4663,-1.8509,29.06068,5.05462,0.8399,5.7493,1.3289,1.0000
1500,1.0000,0.3307,0.0000,4.5369,-1.7866,29.24084,5.09956,0.8402,5.7340,1.3251,1.0000
1600,1.0000,0.3307,0.0000,4.6433,-1.7624,29.42913,5.14608,0.8403,5.7188,1.3213,1.0000
1700,1.0000,0.3307,0.0000,4.7791,-1.7719,29.62110,5.19341,0.8402,5.7036,1.3176,0.9999
1800,1.0000,0.3302,0.0000,4.9380,-1.8095,29.81197,5.24070,0.8400,5.6885,1.3139,0.9997
1900,1.0000,0.3302,0.0000,5.1074,-1.8667,30.00256,5.28790,0.8397,5.6738,1.3104,0.9988
2000,1.0000,0.3299,0.0000,5.2548,-1.9323,30.19190,5.33476,0.8394,5.6595,1.3075,0.9911
2100,1.0000,0.3284,0.0000,5.3307,-1.9754,30.42317,5.38933,0.8396,5.6451,1.3041,0.9397
2200,1.0000,0.3258,0.0000,5.3464,-1.9664,30.74065,5.45952,0.8408,5.6307,1.2997,0.8767
2300,1.0000,0.3250,0.0000,5.3491,-1.9294,31.20880,5.55565,0.8423,5.6175,1.2945,0.7913
2400,1.0000,0.3253,0.0000,5.3401,-1.8773,31.87048,5.68409,0.8437,5.6070,1.2899,0.6574
2500,1.0000,0.3258,0.0000,5.3373,-1.8250,32.74688,5.84712,0.8448,5.6005,1.2871,0.5404
2600,1.0000,0.3276,0.0000,5.3138,-1.7583,33.82284,6.04174,0.8459,5.5982,1.2857,0.6847
2700,1.0000,0.3282,0.0000,5.3124,-1.7134,34.86811,6.23130,0.8466,5.5956,1.2848,0.5766
2800,1.0000,0.3288,0.0000,5.3067,-1.6522,36.02581,6.43882,0.8472,5.5951,1.2847,0.5385
2900,1.0000,0.2575,0.0079,6.2591,-4.7039,40.30280,6.97983,0.8490,5.7742,1.3657,0.9920
3000,1.0000,0.3225,0.0001,5.3346,-2.9927,41.31298,7.06615,0.8504,5.8466,1.3718,1.0000
